Data Table for Daily Case Trends - Arizona,,,,
Date generated: Mon Nov 29 2021 16:20:12 GMT-0700 (Mountain Standard Time),,,,
State,Date,New Cases,7-Day Moving Avg,Total Doses Administered
Arizona,Nov 26 2021,3322,3681,N/A
Arizona,Nov 25 2021,3349,3931,N/A
Arizona,Nov 24 2021,4064,4050,9458251
Arizona,Nov 23 2021,3057,3964,9458251
Arizona,Nov 22 2021,3249,3990,9458161
Arizona,Nov 21 2021,3629,3922,9444188
Arizona,Nov 20 2021,5103,3845,9432117
Arizona,Nov 19 2021,5070,3685,9411312
Arizona,Nov 18 2021,4184,3596,9376731
Arizona,Nov 17 2021,3459,3516,9345690
Arizona,Nov 16 2021,3240,3564,9313106
Arizona,Nov 15 2021,2774,3546,9282581
Arizona,Nov 14 2021,3086,3530,9252018
Arizona,Nov 13 2021,3985,3550,9240036
Arizona,Nov 12 2021,4447,3494,9216735
Arizona,Nov 11 2021,3624,3404,9182667
Arizona,Nov 10 2021,3794,3393,9155939
Arizona,Nov  9 2021,3118,3163,9120948
Arizona,Nov  8 2021,2657,3053,9091204
Arizona,Nov  7 2021,3231,2972,9061854
Arizona,Nov  6 2021,3592,2916,9050437
Arizona,Nov  5 2021,3813,2809,9031535
Arizona,Nov  4 2021,3552,2792,9000310
Arizona,Nov  3 2021,2180,2684,8970611
Arizona,Nov  2 2021,2350,3272,8947596
Arizona,Nov  1 2021,2090,3001,8922241
Arizona,Oct 31 2021,2840,2725,8898020
Arizona,Oct 30 2021,2843,2531,8888723
Arizona,Oct 29 2021,3691,2574,8875970
Arizona,Oct 28 2021,2795,2486,8847551
Arizona,Oct 27 2021,6299,2443,8819861
Arizona,Oct 26 2021,450,1828,8791289
Arizona,Oct 25 2021,158,2033,8764811
Arizona,Oct 24 2021,1484,2280,8737696
Arizona,Oct 23 2021,3144,2337,8727899
Arizona,Oct 22 2021,3074,2243,8711839
Arizona,Oct 21 2021,2495,2146,8686419
Arizona,Oct 20 2021,1991,2131,8670945
Arizona,Oct 19 2021,1888,2178,8655127
Arizona,Oct 18 2021,1886,2198,8639096
Arizona,Oct 17 2021,1886,2180,8622344
Arizona,Oct 16 2021,2482,2222,8615948
Arizona,Oct 15 2021,2399,2204,8605410
Arizona,Oct 14 2021,2386,2248,8586493
Arizona,Oct 13 2021,2319,2268,8568708
Arizona,Oct 12 2021,2029,2228,8550858
Arizona,Oct 11 2021,1760,2260,8533465
Arizona,Oct 10 2021,2182,2311,8515890
Arizona,Oct  9 2021,2358,2321,8508623
Arizona,Oct  8 2021,2702,2405,8497326
Arizona,Oct  7 2021,2529,2539,8475835
Arizona,Oct  6 2021,2041,2570,8455467
Arizona,Oct  5 2021,2254,2762,8437024
Arizona,Oct  4 2021,2113,2601,8416501
Arizona,Oct  3 2021,2255,2579,8396412
Arizona,Oct  2 2021,2942,2625,8387676
Arizona,Oct  1 2021,3642,2621,8374300
Arizona,Sep 30 2021,2744,2529,8349647
Arizona,Sep 29 2021,3388,2568,8327000
Arizona,Sep 28 2021,1123,2384,8305061
Arizona,Sep 27 2021,1959,2500,8282972
Arizona,Sep 26 2021,2579,2509,8261662
Arizona,Sep 25 2021,2916,2492,8252860
Arizona,Sep 24 2021,2998,2467,8237497
