Data Table for Daily Case Trends - Oregon
Date generated: Mon Dec 06 2021 14:15:58 GMT-0700 (Mountain Standard Time)
State,Date,New Cases,7-Day Moving Avg
Oregon,Nov 29 2021,517,610
Oregon,Nov 28 2021,516,783
Oregon,Nov 27 2021,516,710
Oregon,Nov 26 2021,516,636
Oregon,Nov 25 2021,516,715
Oregon,Nov 24 2021,851,806
Oregon,Nov 23 2021,844,824
Oregon,Nov 22 2021,1728,814
Oregon,Nov 21 2021,0,841
Oregon,Nov 20 2021,0,841
Oregon,Nov 19 2021,1072,841
Oregon,Nov 18 2021,1148,945
Oregon,Nov 17 2021,976,781
Oregon,Nov 16 2021,774,787
Oregon,Nov 15 2021,1918,834
Oregon,Nov 14 2021,0,862
Oregon,Nov 13 2021,0,862
Oregon,Nov 12 2021,1802,862
Oregon,Nov 11 2021,0,767
Oregon,Nov 10 2021,1015,936
Oregon,Nov  9 2021,1104,951
Oregon,Nov  8 2021,2116,949
Oregon,Nov  7 2021,0,1012
Oregon,Nov  6 2021,0,1012
Oregon,Nov  5 2021,1136,1012
Oregon,Nov  4 2021,1186,1046
Oregon,Nov  3 2021,1121,1036
Oregon,Nov  2 2021,1084,1064
Oregon,Nov  1 2021,2557,1125
Oregon,Oct 31 2021,0,1075
Oregon,Oct 30 2021,0,1075
Oregon,Oct 29 2021,1380,1075
Oregon,Oct 28 2021,1112,1087
Oregon,Oct 27 2021,1321,1125
Oregon,Oct 26 2021,1507,1124
Oregon,Oct 25 2021,2207,1101
Oregon,Oct 24 2021,0,941
Oregon,Oct 23 2021,0,1096
Oregon,Oct 22 2021,1465,1251
Oregon,Oct 21 2021,1380,1206
Oregon,Oct 20 2021,1313,1171
Oregon,Oct 19 2021,1342,1146
Oregon,Oct 18 2021,1088,1147
Oregon,Oct 17 2021,1086,1129
Oregon,Oct 16 2021,1086,1111
Oregon,Oct 15 2021,1150,1093
Oregon,Oct 14 2021,1136,1151
Oregon,Oct 13 2021,1136,1192
Oregon,Oct 12 2021,1351,1249
Oregon,Oct 11 2021,960,1288
Oregon,Oct 10 2021,960,1307
Oregon,Oct  9 2021,960,1325
Oregon,Oct  8 2021,1557,1343
Oregon,Oct  7 2021,1426,1357
Oregon,Oct  6 2021,1532,1420
Oregon,Oct  5 2021,1627,1486
Oregon,Oct  4 2021,1088,1485
Oregon,Oct  3 2021,1087,1501
Oregon,Oct  2 2021,1087,1516
Oregon,Oct  1 2021,1655,1531
Oregon,Sep 30 2021,1870,1591
Oregon,Sep 29 2021,1993,1582
Oregon,Sep 28 2021,1620,1621
Oregon,Sep 27 2021,1195,1630
Oregon,Sep 26 2021,1193,1617
Oregon,Sep 25 2021,1193,1605
Oregon,Sep 24 2021,2075,1592
Oregon,Sep 23 2021,1808,1592
Oregon,Sep 22 2021,2266,1649
Oregon,Sep 21 2021,1680,1615
Oregon,Sep 20 2021,1108,1665
Oregon,Sep 19 2021,1106,1730
Oregon,Sep 18 2021,1106,1794
Oregon,Sep 17 2021,2073,1859
Oregon,Sep 16 2021,2208,1910
Oregon,Sep 15 2021,2028,1940
Oregon,Sep 14 2021,2028,1983
Oregon,Sep 13 2021,1561,1899
Oregon,Sep 12 2021,1559,1883
Oregon,Sep 11 2021,1559,1866
Oregon,Sep 10 2021,2433,1850
Oregon,Sep  9 2021,2414,1839
Oregon,Sep  8 2021,2329,1841
Oregon,Sep  7 2021,1444,1908
Oregon,Sep  6 2021,1444,2044
Oregon,Sep  5 2021,1444,2099
Oregon,Sep  4 2021,1444,2155
Oregon,Sep  3 2021,2360,2210
Oregon,Sep  2 2021,2426,2329
Oregon,Sep  1 2021,2800,2274
Oregon,Aug 31 2021,2391,2266
Oregon,Aug 30 2021,1833,2321
Oregon,Aug 29 2021,1831,2282
Oregon,Aug 28 2021,1831,2242
Oregon,Aug 27 2021,3191,2203
Oregon,Aug 26 2021,2046,2053
Oregon,Aug 25 2021,2739,2185
Oregon,Aug 24 2021,2781,2095
Oregon,Aug 23 2021,1557,2114
Oregon,Aug 22 2021,1555,2100
Oregon,Aug 21 2021,1555,2087
Oregon,Aug 20 2021,2142,2073
Oregon,Aug 19 2021,2969,2019
Oregon,Aug 18 2021,2108,1924
Oregon,Aug 17 2021,2915,1903
Oregon,Aug 16 2021,1460,1820
Oregon,Aug 15 2021,1460,1764
Oregon,Aug 14 2021,1460,1708
Oregon,Aug 13 2021,1765,1652
Oregon,Aug 12 2021,2305,1539
Oregon,Aug 11 2021,1957,1406
Oregon,Aug 10 2021,2333,1296
Oregon,Aug  9 2021,1068,1186
Oregon,Aug  8 2021,1068,1131
Oregon,Aug  7 2021,1068,1075
Oregon,Aug  6 2021,980,1020
Oregon,Aug  5 2021,1372,1032
Oregon,Aug  4 2021,1183,979
Oregon,Aug  3 2021,1565,927
Oregon,Aug  2 2021,682,849
Oregon,Aug  1 2021,681,798
Oregon,Jul 31 2021,681,748
Oregon,Jul 30 2021,1066,698
Oregon,Jul 29 2021,999,632
