Data Table for Daily Case Trends - Washington
Date generated: Tue Nov 30 2021 19:12:41 GMT-0700 (Mountain Standard Time)
State,Date,New Cases,7-Day Moving Avg,Total Doses Administered
Washington,Nov 29 2021,986,1008,11377078
Washington,Nov 28 2021,983,1423,11377056
Washington,Nov 27 2021,983,1283,11376655
Washington,Nov 26 2021,983,1142,11360091
Washington,Nov 25 2021,983,1236,11335471
Washington,Nov 24 2021,1106,1381,11334391
Washington,Nov 23 2021,1037,1533,11304162
Washington,Nov 22 2021,3890,1571,11270714
Washington,Nov 21 2021,0,1663,11235453
Washington,Nov 20 2021,0,1663,11218566
Washington,Nov 19 2021,1636,1663,11181944
Washington,Nov 18 2021,1999,2018,11137693
Washington,Nov 17 2021,2173,1732,11099846
Washington,Nov 16 2021,1299,1706,11061430
Washington,Nov 15 2021,4534,1727,11025416
Washington,Nov 14 2021,0,1825,10993191
Washington,Nov 13 2021,0,1825,10972609
Washington,Nov 12 2021,4123,1825,10934028
Washington,Nov 11 2021,0,1496,10888269
Washington,Nov 10 2021,1990,1831,10848554
Washington,Nov  9 2021,1445,1780,10806130
Washington,Nov  8 2021,5221,1830,10766528
Washington,Nov  7 2021,0,1751,10731517
Washington,Nov  6 2021,0,1751,10713253
Washington,Nov  5 2021,1817,1751,10680049
Washington,Nov  4 2021,2346,1863,10634838
Washington,Nov  3 2021,1631,2005,10597210
Washington,Nov  2 2021,1796,1997,10561212
Washington,Nov  1 2021,4673,1970,10525065
Washington,Oct 31 2021,0,2132,10491815
Washington,Oct 30 2021,0,2132,10480620
Washington,Oct 29 2021,2596,2132,10454849
Washington,Oct 28 2021,3339,2115,10411705
Washington,Oct 27 2021,1576,2088,10372351
Washington,Oct 26 2021,1609,2214,10333904
Washington,Oct 25 2021,5804,2249,10296712
Washington,Oct 24 2021,0,1684,10261834
Washington,Oct 23 2021,0,1949,10249688
Washington,Oct 22 2021,2479,2213,10226290
Washington,Oct 21 2021,3154,2242,10196486
Washington,Oct 20 2021,2453,2199,10175561
Washington,Oct 19 2021,1856,2286,10155165
Washington,Oct 18 2021,1851,2291,10133759
Washington,Oct 17 2021,1851,2338,10113054
Washington,Oct 16 2021,1851,2384,10106100
Washington,Oct 15 2021,2679,2431,10090797
Washington,Oct 14 2021,2853,2377,10065609
Washington,Oct 13 2021,3067,2386,10042779
Washington,Oct 12 2021,1885,2315,10021188
Washington,Oct 11 2021,2181,2385,9999757
Washington,Oct 10 2021,2178,2403,9978983
Washington,Oct  9 2021,2178,2422,9970935
Washington,Oct  8 2021,2300,2440,9955225
Washington,Oct  7 2021,2913,2581,9927722
Washington,Oct  6 2021,2575,2581,9903205
Washington,Oct  5 2021,2373,2599,9879013
Washington,Oct  4 2021,2310,2650,9852774
Washington,Oct  3 2021,2307,2738,9823874
Washington,Oct  2 2021,2307,2827,9813591
Washington,Oct  1 2021,3284,2916,9794901
Washington,Sep 30 2021,2916,2894,9760358
Washington,Sep 29 2021,2699,3061,9730305
Washington,Sep 28 2021,2727,2998,9700820
Washington,Sep 27 2021,2930,2970,9670531
Washington,Sep 26 2021,2929,2920,9644989
Washington,Sep 25 2021,2929,2870,9635166
Washington,Sep 24 2021,3129,2820,9618360
Washington,Sep 23 2021,4089,2928,9594263
Washington,Sep 22 2021,2255,2801,9578996
Washington,Sep 21 2021,2535,3016,9564025
Washington,Sep 20 2021,2580,3046,9548209
Washington,Sep 19 2021,2578,3127,9531682
Washington,Sep 18 2021,2578,3208,9524329
Washington,Sep 17 2021,3881,3288,9511958
Washington,Sep 16 2021,3201,3218,9489929
Washington,Sep 15 2021,3759,3341,9473540
Washington,Sep 14 2021,2751,3308,9456648
Washington,Sep 13 2021,3144,3317,9438802
Washington,Sep 12 2021,3142,3270,9418178
Washington,Sep 11 2021,3142,3224,9410190
Washington,Sep 10 2021,3388,3177,9397006
Washington,Sep  9 2021,4063,3268,9372853
Washington,Sep  8 2021,3530,3311,9353865
Washington,Sep  7 2021,2816,3387,9335030
Washington,Sep  6 2021,2815,3453,9315375
Washington,Sep  5 2021,2815,3469,9310009
Washington,Sep  4 2021,2815,3484,9302457
Washington,Sep  3 2021,4022,3500,9291296
Washington,Sep  2 2021,4364,3535,9269783
Washington,Sep  1 2021,4063,3460,9252367
Washington,Aug 31 2021,3279,3307,9234678
Washington,Aug 30 2021,2926,3278,9215681
Washington,Aug 29 2021,2924,3258,9197039
Washington,Aug 28 2021,2924,3239,9189559
Washington,Aug 27 2021,4267,3219,9177526
Washington,Aug 26 2021,3843,3150,9155446
Washington,Aug 25 2021,2991,3163,9137555
Washington,Aug 24 2021,3073,3239,9119123
Washington,Aug 23 2021,2789,3132,9100562
Washington,Aug 22 2021,2786,3095,9081849
Washington,Aug 21 2021,2786,3059,9075000
Washington,Aug 20 2021,3783,3022,9063825
Washington,Aug 19 2021,3937,2934,9043461
Washington,Aug 18 2021,3519,2899,9025978
Washington,Aug 17 2021,2330,2837,9008904
Washington,Aug 16 2021,2530,2792,8992602
Washington,Aug 15 2021,2530,2750,8976344
Washington,Aug 14 2021,2530,2707,8970213
Washington,Aug 13 2021,3162,2664,8960445
Washington,Aug 12 2021,3698,2547,8944320
Washington,Aug 11 2021,3085,2435,8930708
Washington,Aug 10 2021,2011,2284,8917133
Washington,Aug  9 2021,2234,2293,8903107
Washington,Aug  8 2021,2232,2269,8889284
Washington,Aug  7 2021,2232,2246,8884007
Washington,Aug  6 2021,2337,2223,8875330
Washington,Aug  5 2021,2914,1991,8860085
Washington,Aug  4 2021,2032,1700,8847125
Washington,Aug  3 2021,2071,1574,8834164
Washington,Aug  2 2021,2070,1425,8820739
Washington,Aug  1 2021,2070,1276,8809148
Washington,Jul 31 2021,2070,1126,8804452
Washington,Jul 30 2021,714,977,8796336
Washington,Jul 29 2021,873,894,8782108
Washington,Jul 28 2021,1156,1136,8770251
Washington,Jul 27 2021,1025,1108,8758193
Washington,Jul 26 2021,1027,1065,8745909
Washington,Jul 25 2021,1023,1046,8735331
Washington,Jul 24 2021,1023,1027,8731335
Washington,Jul 23 2021,136,883,8723734
Washington,Jul 22 2021,2562,970,8710601
Washington,Jul 21 2021,960,717,8699061
Washington,Jul 20 2021,730,680,8686817
Washington,Jul 19 2021,891,734,8675348
Washington,Jul 18 2021,889,683,8665532
Washington,Jul 17 2021,14,632,8661682
Washington,Jul 16 2021,747,707,8654309
Washington,Jul 15 2021,789,665,8641001
Washington,Jul 14 2021,703,635,8629940
Washington,Jul 13 2021,1105,592,8618827
Washington,Jul 12 2021,536,477,8606886
Washington,Jul 11 2021,535,442,8596624
Washington,Jul 10 2021,535,408,8592440
Washington,Jul  9 2021,453,374,8583442
Washington,Jul  8 2021,582,368,8567921
Washington,Jul  7 2021,403,353,8555049
Washington,Jul  6 2021,297,345,8541577
Washington,Jul  5 2021,295,348,8527358
Washington,Jul  4 2021,295,343,8518738
Washington,Jul  3 2021,295,339,8517143
Washington,Jul  2 2021,411,357,8509057
Washington,Jul  1 2021,477,368,8493270
Washington,Jun 30 2021,347,378,8478345
Washington,Jun 29 2021,318,443,8462467
Washington,Jun 28 2021,264,458,8447824
Washington,Jun 27 2021,262,457,8437050
Washington,Jun 26 2021,421,457,8432193
Washington,Jun 25 2021,492,474,8420936
Washington,Jun 24 2021,546,481,8401502
Washington,Jun 23 2021,803,465,8384847
Washington,Jun 22 2021,418,426,8366783
Washington,Jun 21 2021,261,428,8347224
Washington,Jun 20 2021,260,427,8332852
Washington,Jun 19 2021,540,433,8326950
Washington,Jun 18 2021,539,458,8312766
Washington,Jun 17 2021,438,472,8286688
Washington,Jun 16 2021,531,512,8263288
Washington,Jun 15 2021,433,509,8236975
Washington,Jun 14 2021,254,547,8209311
Washington,Jun 13 2021,302,563,8184723
Washington,Jun 12 2021,712,587,8175350
Washington,Jun 11 2021,639,598,8149637
Washington,Jun 10 2021,717,610,8113312
Washington,Jun  9 2021,507,631,8078985
Washington,Jun  8 2021,702,658,8041598
Washington,Jun  7 2021,366,602,8005503
Washington,Jun  6 2021,466,593,7975607
Washington,Jun  5 2021,794,601,7963691
Washington,Jun  4 2021,719,640,7926537
Washington,Jun  3 2021,867,675,7882458
Washington,Jun  2 2021,693,780,7846681
Washington,Jun  1 2021,309,938,7815247
Washington,May 31 2021,307,1025,7778133
Washington,May 30 2021,519,1110,7770165
Washington,May 29 2021,1066,1057,7761595
Washington,May 28 2021,967,1042,7739084
Washington,May 27 2021,1605,1139,7691409
Washington,May 26 2021,1794,1044,7647018
Washington,May 25 2021,921,910,7598664
Washington,May 24 2021,901,874,7548758
Washington,May 23 2021,147,831,7506918
Washington,May 22 2021,962,949,7490157
Washington,May 21 2021,1649,958,7429063
Washington,May 20 2021,938,951,7359314
Washington,May 19 2021,858,1015,7292320
Washington,May 18 2021,668,1056,7222006
Washington,May 17 2021,600,1115,7151639
Washington,May 16 2021,974,1139,7099276
Washington,May 15 2021,1024,1154,7070978
Washington,May 14 2021,1597,1202,6997067
Washington,May 13 2021,1388,1177,6919024
Washington,May 12 2021,1141,1176,6851251
Washington,May 11 2021,1082,1218,6792045
Washington,May 10 2021,768,1218,6730259
Washington,May  9 2021,1084,1266,6688029
Washington,May  8 2021,1356,1312,6670312
Washington,May  7 2021,1422,1350,6605947
Washington,May  6 2021,1381,1357,6534726
Washington,May  5 2021,1437,1387,6466174
Washington,May  4 2021,1078,1395,6398373
Washington,May  3 2021,1106,1393,6333754
Washington,May  2 2021,1404,1389,6288608
Washington,May  1 2021,1623,1352,6268912
Washington,Apr 30 2021,1470,1356,6206210
Washington,Apr 29 2021,1594,1395,6124310
Washington,Apr 28 2021,1490,1393,6050171
Washington,Apr 27 2021,1068,1392,5965816
Washington,Apr 26 2021,1076,1483,5888817
Washington,Apr 25 2021,1146,1391,5836583
Washington,Apr 24 2021,1648,1411,5805102
Washington,Apr 23 2021,1749,1403,5717342
Washington,Apr 22 2021,1575,1441,5630829
Washington,Apr 21 2021,1487,1420,5543536
Washington,Apr 20 2021,1706,1397,5451101
Washington,Apr 19 2021,428,1296,5372914
Washington,Apr 18 2021,1286,1348,5319939
Washington,Apr 17 2021,1594,1327,5287496
Washington,Apr 16 2021,2016,1287,5202929
Washington,Apr 15 2021,1423,1208,5104502
Washington,Apr 14 2021,1326,1168,5016851
Washington,Apr 13 2021,1003,1190,4939007
Washington,Apr 12 2021,790,1139,4864375
Washington,Apr 11 2021,1138,1131,4809694
Washington,Apr 10 2021,1318,1102,4782678
Washington,Apr  9 2021,1464,1087,4695360
Washington,Apr  8 2021,1138,1069,4603038
Washington,Apr  7 2021,1483,1096,4514320
Washington,Apr  6 2021,645,1050,4417017
Washington,Apr  5 2021,734,1079,4332745
Washington,Apr  4 2021,938,1065,4273425
Washington,Apr  3 2021,1207,1050,4256865
Washington,Apr  2 2021,1338,1055,4170872
Washington,Apr  1 2021,1330,1020,4074070
Washington,Mar 31 2021,1164,985,3981567
Washington,Mar 30 2021,842,955,3884721
Washington,Mar 29 2021,637,914,3811449
Washington,Mar 28 2021,832,905,3760612
Washington,Mar 27 2021,1243,886,3727988
Washington,Mar 26 2021,1096,843,3649716
Washington,Mar 25 2021,1087,813,3559416
Washington,Mar 24 2021,950,791,3474235
Washington,Mar 23 2021,557,779,3394207
Washington,Mar 22 2021,572,792,3326067
Washington,Mar 21 2021,698,775,3282987
Washington,Mar 20 2021,943,769,3255622
Washington,Mar 19 2021,888,753,3179841
Washington,Mar 18 2021,929,717,3106139
Washington,Mar 17 2021,867,719,3029866
Washington,Mar 16 2021,653,689,2960438
Washington,Mar 15 2021,451,673,2903556
Washington,Mar 14 2021,655,673,2862487
Washington,Mar 13 2021,829,691,2837567
