Data Table for Daily Case Trends - California
Date generated: Tue Nov 30 2021 21:57:49 GMT-0700 (Mountain Standard Time)
State,Date,New Cases,7-Day Moving Avg,Total Doses Administered
California,Nov 29 2021,20976,4028,59597608
California,Nov 28 2021,0,3224,59597578
California,Nov 27 2021,0,3224,59557273
California,Nov 26 2021,0,3224,59454021
California,Nov 25 2021,0,3985,59312315
California,Nov 24 2021,3063,5099,59307912
California,Nov 23 2021,4163,5220,59113364
California,Nov 22 2021,15344,5271,58882202
California,Nov 21 2021,0,4280,58659066
California,Nov 20 2021,0,4280,58588908
California,Nov 19 2021,5327,5994,58437545
California,Nov 18 2021,7799,5233,58175281
California,Nov 17 2021,3912,5365,57953933
California,Nov 16 2021,4515,5337,57725113
California,Nov 15 2021,8410,5256,57500855
California,Nov 14 2021,0,6753,57297429
California,Nov 13 2021,11996,6753,57228421
California,Nov 12 2021,0,5040,57083344
California,Nov 11 2021,8727,6184,56828710
California,Nov 10 2021,3716,6325,56617368
California,Nov  9 2021,3945,6297,56394022
California,Nov  8 2021,18893,6334,56177530
California,Nov  7 2021,0,6400,55978612
California,Nov  6 2021,0,6400,55912985
California,Nov  5 2021,8012,6400,55786208
California,Nov  4 2021,9711,6269,55545436
California,Nov  3 2021,3518,6135,55348502
California,Nov  2 2021,4209,6258,55158583
California,Nov  1 2021,19351,9165,54968116
California,Oct 31 2021,0,6401,54789231
California,Oct 30 2021,0,6401,54738312
California,Oct 29 2021,7098,6401,54634727
California,Oct 28 2021,8770,6257,54413528
California,Oct 27 2021,4378,6205,54230469
California,Oct 26 2021,24563,6019,54046131
California,Oct 25 2021,0,3093,53863617
California,Oct 24 2021,0,5487,53699416
California,Oct 23 2021,0,5487,53651725
California,Oct 22 2021,6093,5487,53558028
California,Oct 21 2021,8407,5501,53394191
California,Oct 20 2021,3070,5338,53297050
California,Oct 19 2021,4081,5475,53203342
California,Oct 18 2021,16764,5477,53106620
California,Oct 17 2021,0,5499,53005343
California,Oct 16 2021,0,5499,52974454
California,Oct 15 2021,6188,5499,52914235
California,Oct 14 2021,7263,5574,52786737
California,Oct 13 2021,4034,5742,52684427
California,Oct 12 2021,4091,5935,52583788
California,Oct 11 2021,16921,5887,52476957
California,Oct 10 2021,0,6183,52369656
California,Oct  9 2021,0,6183,52333908
California,Oct  8 2021,6710,6183,52267812
California,Oct  7 2021,8440,6349,52123319
California,Oct  6 2021,5386,6603,52004394
California,Oct  5 2021,3752,6761,51893559
California,Oct  4 2021,18998,6904,51780045
California,Oct  3 2021,0,7472,51667246
California,Oct  2 2021,0,7472,51628414
California,Oct  1 2021,7869,7472,51559270
California,Sep 30 2021,10221,7387,51411845
California,Sep 29 2021,6493,7576,51277401
California,Sep 28 2021,4753,7588,51146361
California,Sep 27 2021,22969,7771,51014288
California,Sep 26 2021,0,5374,50893658
California,Sep 25 2021,0,6665,50854152
California,Sep 24 2021,7276,8006,50781627
California,Sep 23 2021,11543,8330,50669457
California,Sep 22 2021,6579,8665,50594796
California,Sep 21 2021,6032,8833,50517503
California,Sep 20 2021,6193,9665,50439725
California,Sep 19 2021,9038,9757,50357601
California,Sep 18 2021,9385,9758,50324458
California,Sep 17 2021,9543,10341,50266884
California,Sep 16 2021,13885,10298,50168647
California,Sep 15 2021,7760,9977,50083979
California,Sep 14 2021,11851,9908,50001867
California,Sep 13 2021,6842,9289,49919060
California,Sep 12 2021,9045,9579,49831979
California,Sep 11 2021,13463,10325,49796135
California,Sep 10 2021,9244,9732,49732155
California,Sep  9 2021,11638,10089,49621618
California,Sep  8 2021,7274,10618,49529974
California,Sep  7 2021,7523,12920,49437625
California,Sep  6 2021,8866,13217,49337020
California,Sep  5 2021,14267,14089,49317564
California,Sep  4 2021,9318,13741,49278951
California,Sep  3 2021,11742,14575,49213831
California,Sep  2 2021,15339,14867,49093069
California,Sep  1 2021,23387,15158,48995388
California,Aug 31 2021,9606,13516,48894037
California,Aug 30 2021,14968,13630,48790842
California,Aug 29 2021,11828,12959,48686524
California,Aug 28 2021,15157,13350,48643359
California,Aug 27 2021,13785,13130,48564856
California,Aug 26 2021,17375,13263,48433373
California,Aug 25 2021,11899,14016,48326337
California,Aug 24 2021,10401,14362,48221071
California,Aug 23 2021,10274,14269,48112374
California,Aug 22 2021,14564,14435,48003728
California,Aug 21 2021,13613,14279,47960861
California,Aug 20 2021,14716,14402,47883987
California,Aug 19 2021,22651,14314,47754444
California,Aug 18 2021,14317,12571,47650622
California,Aug 17 2021,9748,11944,47546490
California,Aug 16 2021,11437,11926,47442190
California,Aug 15 2021,13472,11782,47342718
California,Aug 14 2021,14479,11753,47301666
California,Aug 13 2021,14099,11530,47227658
California,Aug 12 2021,10450,11573,47113171
California,Aug 11 2021,9925,11943,47023372
California,Aug 10 2021,9625,11747,46935842
California,Aug  9 2021,10425,11418,46841954
California,Aug  8 2021,13271,14701,46751346
California,Aug  7 2021,12916,12805,46715344
California,Aug  6 2021,14402,10960,46650028
California,Aug  5 2021,13042,10382,46542136
California,Aug  4 2021,8552,10058,46453132
California,Aug  3 2021,7318,9815,46365736
California,Aug  2 2021,33407,9874,46273405
California,Aug  1 2021,0,8236,46190747
California,Jul 31 2021,0,8236,46159936
California,Jul 30 2021,10356,8236,46098769
California,Jul 29 2021,10778,7897,45998188
California,Jul 28 2021,6849,7923,45913340
California,Jul 27 2021,7731,7700,45825946
California,Jul 26 2021,21940,7270,45738220
California,Jul 25 2021,0,6150,45663871
California,Jul 24 2021,0,6150,45637661
California,Jul 23 2021,7984,6150,45580373
California,Jul 22 2021,10962,5674,45485498
California,Jul 21 2021,5285,4625,45405307
California,Jul 20 2021,4723,4312,45325046
California,Jul 19 2021,14097,4102,45243003
California,Jul 18 2021,0,3361,45170425
California,Jul 17 2021,0,3361,45143036
California,Jul 16 2021,4651,3361,45086346
California,Jul 15 2021,3622,3041,44997613
California,Jul 14 2021,3093,2726,44924436
California,Jul 13 2021,3256,2475,44851760
California,Jul 12 2021,8910,2828,44776417
California,Jul 11 2021,0,1555,44705274
California,Jul 10 2021,0,1555,44680218
California,Jul  9 2021,2411,1555,44625149
California,Jul  8 2021,1416,1467,44535776
California,Jul  7 2021,1332,1507,44459336
California,Jul  6 2021,5730,1317,44379403
California,Jul  5 2021,0,607,44286204
California,Jul  4 2021,0,786,44242499
California,Jul  3 2021,0,1108,44238788
California,Jul  2 2021,1792,1348,44189494
California,Jul  1 2021,1698,1380,44098604
California,Jun 30 2021,0,1340,44018325
California,Jun 29 2021,762,1453,43932981
California,Jun 28 2021,1256,1435,43842582
California,Jun 27 2021,2251,1416,43764446
California,Jun 26 2021,1683,1231,43730818
California,Jun 25 2021,2015,1158,43658629
California,Jun 24 2021,1419,1055,43544864
California,Jun 23 2021,787,971,43446896
California,Jun 22 2021,635,959,43346033
California,Jun 21 2021,1123,958,43238174
California,Jun 20 2021,956,915,43162209
California,Jun 19 2021,1176,913,43129353
California,Jun 18 2021,1295,893,43048863
California,Jun 17 2021,829,870,42912788
California,Jun 16 2021,699,874,42792334
California,Jun 15 2021,628,895,42665065
California,Jun 14 2021,827,918,42526512
California,Jun 13 2021,942,925,42406254
California,Jun 12 2021,1032,948,42360743
California,Jun 11 2021,1136,966,42240843
California,Jun 10 2021,856,953,42074404
California,Jun  9 2021,846,941,41920536
California,Jun  8 2021,792,886,41761372
California,Jun  7 2021,874,833,41596511
California,Jun  6 2021,1101,800,41457150
California,Jun  5 2021,1157,797,41392305
California,Jun  4 2021,1047,805,41234184
California,Jun  3 2021,773,1350,41032213
California,Jun  2 2021,461,1442,40856187
California,Jun  1 2021,423,1541,40708950
California,May 31 2021,644,1569,40534221
California,May 30 2021,1079,1632,40513165
California,May 29 2021,1210,1664,40463460
California,May 28 2021,4864,1661,40352968
California,May 27 2021,1418,1199,40158244
California,May 26 2021,1155,1181,39978365
California,May 25 2021,618,1153,39788192
California,May 24 2021,1081,1162,39591758
California,May 23 2021,1308,1150,39413751
California,May 22 2021,1186,1159,39319457
California,May 21 2021,1627,1256,39107656
California,May 20 2021,1292,1314,38815198
California,May 19 2021,959,1336,38539718
California,May 18 2021,687,1374,38250702
California,May 17 2021,995,1426,37957460
California,May 16 2021,1370,1480,37706902
California,May 15 2021,1864,1549,37559255
California,May 14 2021,2034,1561,37271258
California,May 13 2021,1443,1623,36916122
California,May 12 2021,1231,1638,36586963
California,May 11 2021,1045,1660,36304382
California,May 10 2021,1377,1704,36016976
California,May  9 2021,1853,1723,35800476
California,May  8 2021,1945,1780,35699882
California,May  7 2021,2471,1802,35457392
California,May  6 2021,1547,1720,35091188
California,May  5 2021,1388,1707,34722509
California,May  4 2021,1349,1736,34371610
California,May  3 2021,1512,1750,34026073
California,May  2 2021,2254,1836,33761250
California,May  1 2021,2094,1763,33638293
California,Apr 30 2021,1897,1639,33375994
California,Apr 29 2021,1457,1628,32973574
California,Apr 28 2021,1593,1764,32587004
California,Apr 27 2021,1445,1840,32201987
California,Apr 26 2021,2116,1863,31810809
California,Apr 25 2021,1739,1835,31492388
California,Apr 24 2021,1229,1967,31331517
