Data Table for Daily Death Trends - Arizona,,,,
Date generated: Mon Nov 29 2021 16:20:59 GMT-0700 (Mountain Standard Time),,,,
State,Date,New Deaths,7-Day Moving Avg,Total Doses Administered
Arizona,Nov 26 2021,4,41,N/A
Arizona,Nov 25 2021,75,52,N/A
Arizona,Nov 24 2021,36,49,9458251
Arizona,Nov 23 2021,120,46,9458251
Arizona,Nov 22 2021,2,41,9458161
Arizona,Nov 21 2021,1,41,9444188
Arizona,Nov 20 2021,53,41,9432117
Arizona,Nov 19 2021,78,40,9411312
Arizona,Nov 18 2021,56,37,9376731
Arizona,Nov 17 2021,16,32,9345690
Arizona,Nov 16 2021,83,35,9313106
Arizona,Nov 15 2021,0,34,9282581
Arizona,Nov 14 2021,2,34,9252018
Arizona,Nov 13 2021,51,34,9240036
Arizona,Nov 12 2021,51,36,9216735
Arizona,Nov 11 2021,24,37,9182667
Arizona,Nov 10 2021,39,36,9155939
Arizona,Nov  9 2021,77,48,9120948
Arizona,Nov  8 2021,0,37,9091204
Arizona,Nov  7 2021,1,37,9061854
Arizona,Nov  6 2021,60,37,9050437
Arizona,Nov  5 2021,58,36,9031535
Arizona,Nov  4 2021,17,37,9000310
Arizona,Nov  3 2021,124,35,8970611
Arizona,Nov  2 2021,0,29,8947596
Arizona,Nov  1 2021,1,43,8922241
Arizona,Oct 31 2021,1,43,8898020
Arizona,Oct 30 2021,57,44,8888723
Arizona,Oct 29 2021,63,41,8875970
Arizona,Oct 28 2021,0,39,8847551
Arizona,Oct 27 2021,81,46,8819861
Arizona,Oct 26 2021,102,41,8791289
Arizona,Oct 25 2021,0,35,8764811
Arizona,Oct 24 2021,11,43,8737696
Arizona,Oct 23 2021,30,50,8727899
Arizona,Oct 22 2021,51,47,8711839
Arizona,Oct 21 2021,49,45,8686419
Arizona,Oct 20 2021,47,39,8670945
Arizona,Oct 19 2021,60,32,8655127
Arizona,Oct 18 2021,57,34,8639096
Arizona,Oct 17 2021,57,25,8622344
Arizona,Oct 16 2021,9,22,8615948
Arizona,Oct 15 2021,38,25,8605410
Arizona,Oct 14 2021,6,25,8586493
Arizona,Oct 13 2021,0,29,8568708
Arizona,Oct 12 2021,71,34,8550858
Arizona,Oct 11 2021,0,35,8533465
