Data Table for Daily Death Trends - California
Date generated: Tue Nov 30 2021 18:10:58 GMT-0700 (Mountain Standard Time)
State,Date,New Deaths,7-Day Moving Avg,Current Hospitalized COVID-19 Patients
California,Nov 29 2021,291,65,N/A
California,Nov 28 2021,0,52,3043.14
California,Nov 27 2021,0,52,3053
California,Nov 26 2021,0,52,3075.71
California,Nov 25 2021,0,74,3108.29
California,Nov 24 2021,151,92,3154.71
California,Nov 23 2021,15,89,3201.14
California,Nov 22 2021,199,89,3249.14
California,Nov 21 2021,0,80,3292.14
California,Nov 20 2021,0,80,3337.29
California,Nov 19 2021,153,101,3371.43
California,Nov 18 2021,129,79,3406.71
California,Nov 17 2021,128,83,3442.43
California,Nov 16 2021,20,84,3474.71
California,Nov 15 2021,134,84,3501.71
California,Nov 14 2021,0,83,3537.86
California,Nov 13 2021,148,83,3570
California,Nov 12 2021,0,62,3614.86
California,Nov 11 2021,156,75,3660
California,Nov 10 2021,134,69,3705
California,Nov  9 2021,19,61,3745
California,Nov  8 2021,127,63,3782.71
California,Nov  7 2021,0,47,3806.29
California,Nov  6 2021,0,47,3825.57
California,Nov  5 2021,93,47,3833.86
California,Nov  4 2021,113,50,3835.43
California,Nov  3 2021,76,50,3823.14
California,Nov  2 2021,38,55,3806.14
California,Nov  1 2021,13,92,3798.14
California,Oct 31 2021,0,90,3786.57
California,Oct 30 2021,0,90,3762.14
California,Oct 29 2021,111,90,3732.86
California,Oct 28 2021,113,95,3709.86
California,Oct 27 2021,113,100,3686.14
California,Oct 26 2021,298,106,3660.43
California,Oct 25 2021,0,66,3634.71
California,Oct 24 2021,0,104,3620.86
California,Oct 23 2021,0,104,3622
California,Oct 22 2021,143,104,3589
California,Oct 21 2021,148,104,3586.71
California,Oct 20 2021,156,104,3592
California,Oct 19 2021,21,97,3612.71
California,Oct 18 2021,266,96,3650.14
California,Oct 17 2021,0,91,3686.43
California,Oct 16 2021,0,91,3723.57
California,Oct 15 2021,140,91,3798.14
California,Oct 14 2021,148,94,3849
California,Oct 13 2021,106,96,3914
California,Oct 12 2021,15,104,3994.43
California,Oct 11 2021,234,102,4056.43
California,Oct 10 2021,0,103,4135.14
California,Oct  9 2021,0,103,4210.43
California,Oct  8 2021,156,103,4299.57
California,Oct  7 2021,167,99,4395.43
California,Oct  6 2021,157,97,4504.71
California,Oct  5 2021,0,93,4605.71
California,Oct  4 2021,243,96,4723.57
California,Oct  3 2021,0,101,4838.86
California,Oct  2 2021,0,101,4958.86
California,Oct  1 2021,126,101,5083.57
California,Sep 30 2021,153,106,5207.57
California,Sep 29 2021,130,106,5340.29
California,Sep 28 2021,25,108,5456.29
California,Sep 27 2021,275,107,5566.57
California,Sep 26 2021,0,68,5663.43
California,Sep 25 2021,0,86,5760.57
California,Sep 24 2021,159,104,5849.14
California,Sep 23 2021,154,105,5941.71
California,Sep 22 2021,146,110,6027.57
California,Sep 21 2021,16,116,6130.14
California,Sep 20 2021,4,128,6233
California,Sep 19 2021,125,129,6354.57
California,Sep 18 2021,125,122,6470.14
California,Sep 17 2021,171,133,6594.71
California,Sep 16 2021,186,132,6723.57
California,Sep 15 2021,188,135,6858.14
California,Sep 14 2021,97,111,6995.14
California,Sep 13 2021,15,103,7132.29
California,Sep 12 2021,76,105,7241.43
California,Sep 11 2021,203,116,7364
California,Sep 10 2021,165,102,7481.71
California,Sep  9 2021,201,96,7605.14
California,Sep  8 2021,26,89,7726.43
California,Sep  7 2021,40,106,7827
California,Sep  6 2021,25,102,7928
California,Sep  5 2021,158,103,8022.86
California,Sep  4 2021,103,95,8107.14
California,Sep  3 2021,119,95,8160
California,Sep  2 2021,155,93,8197.43
California,Sep  1 2021,143,89,8210.71
California,Aug 31 2021,16,84,8209.29
California,Aug 30 2021,28,84,8198.57
California,Aug 29 2021,104,81,8192.57
California,Aug 28 2021,106,79,8168.14
California,Aug 27 2021,102,75,8132.14
California,Aug 26 2021,129,78,8075.71
California,Aug 25 2021,108,73,7997
California,Aug 24 2021,17,70,7932.86
California,Aug 23 2021,3,69,7841.71
California,Aug 22 2021,89,70,7717.57
California,Aug 21 2021,82,63,7588.71
California,Aug 20 2021,120,57,7450.86
California,Aug 19 2021,92,49,7303.86
California,Aug 18 2021,90,45,7144.14
California,Aug 17 2021,7,32,6969.86
California,Aug 16 2021,11,32,6816.57
California,Aug 15 2021,45,31,6654.14
California,Aug 14 2021,40,30,6480.43
California,Aug 13 2021,61,29,6302.43
California,Aug 12 2021,61,26,6122.14
California,Aug 11 2021,0,25,5933.57
California,Aug 10 2021,10,33,5732.57
California,Aug  9 2021,6,33,5488.43
California,Aug  8 2021,36,53,5269.86
California,Aug  7 2021,33,48,5017.43
California,Aug  6 2021,37,44,4797.43
California,Aug  5 2021,56,45,4573.29
California,Aug  4 2021,54,43,4344.14
California,Aug  3 2021,11,40,4125.71
California,Aug  2 2021,150,39,3912.43
California,Aug  1 2021,0,27,3704.43
California,Jul 31 2021,0,27,3538
California,Jul 30 2021,44,27,3353.71
California,Jul 29 2021,42,28,3171.57
California,Jul 28 2021,38,26,3006.57
California,Jul 27 2021,5,22,2837.86
California,Jul 26 2021,65,22,2693.86
California,Jul 25 2021,0,20,2544
California,Jul 24 2021,0,20,2399.71
California,Jul 23 2021,46,20,2274.71
California,Jul 22 2021,31,23,2159.57
California,Jul 21 2021,11,22,2050.14
California,Jul 20 2021,4,25,1952.43
California,Jul 19 2021,51,25,1860
California,Jul 18 2021,0,31,1778.57
California,Jul 17 2021,0,31,1704.86
California,Jul 16 2021,65,31,1633.57
California,Jul 15 2021,25,30,1562.43
California,Jul 14 2021,30,35,1500.29
California,Jul 13 2021,6,34,1443.29
California,Jul 12 2021,96,47,1380.43
California,Jul 11 2021,0,33,1320.86
California,Jul 10 2021,0,33,1275.29
California,Jul  9 2021,59,33,1230.29
California,Jul  8 2021,58,31,1193.14
California,Jul  7 2021,21,33,1157
California,Jul  6 2021,97,34,1124.86
California,Jul  5 2021,0,21,1104
California,Jul  4 2021,0,21,1087.71
California,Jul  3 2021,0,28,1047.43
California,Jul  2 2021,45,35,1026.14
California,Jul  1 2021,73,39,1002.71
California,Jun 30 2021,24,40,984.71
California,Jun 29 2021,5,42,961.71
California,Jun 28 2021,4,43,945.14
California,Jun 27 2021,45,43,929
California,Jun 26 2021,55,41,938
California,Jun 25 2021,68,38,933.86
California,Jun 24 2021,81,36,928.86
California,Jun 23 2021,40,29,928.57
California,Jun 22 2021,8,26,932.57
California,Jun 21 2021,4,26,933.86
California,Jun 20 2021,35,26,939.71
California,Jun 19 2021,32,21,946.29
California,Jun 18 2021,57,17,947.57
California,Jun 17 2021,31,17,953.14
California,Jun 16 2021,19,18,959
California,Jun 15 2021,10,18,964.57
California,Jun 14 2021,0,17,972.71
California,Jun 13 2021,4,18,979.57
California,Jun 12 2021,0,50,986.71
California,Jun 11 2021,55,59,1000.29
California,Jun 10 2021,39,63,1012.43
California,Jun  9 2021,20,65,1018.71
California,Jun  8 2021,6,65,1030.43
California,Jun  7 2021,3,66,1036.29
California,Jun  6 2021,228,66,1042.57
California,Jun  5 2021,63,34,1043.57
California,Jun  4 2021,87,25,1051.71
California,Jun  3 2021,48,37,1060.43
California,Jun  2 2021,23,35,1072.71
California,Jun  1 2021,10,39,1080.14
California,May 31 2021,5,39,1092.71
California,May 30 2021,7,39,1103.86
California,May 29 2021,0,43,1139.57
California,May 28 2021,170,50,1167.43
California,May 27 2021,31,36,1192.71
California,May 26 2021,54,38,1221.57
California,May 25 2021,8,36,1258.86
California,May 24 2021,7,36,1291.14
California,May 23 2021,33,36,1328.29
California,May 22 2021,50,39,1335.29
California,May 21 2021,69,36,1346.57
California,May 20 2021,48,36,1361.71
California,May 19 2021,42,35,1374.57
California,May 18 2021,3,38,1383.43
California,May 17 2021,11,38,1396
California,May 16 2021,55,38,1407.86
California,May 15 2021,27,39,1427.57
California,May 14 2021,66,55,1447.71
California,May 13 2021,46,60,1463.29
California,May 12 2021,59,63,1477.29
California,May 11 2021,5,68,1482
California,May 10 2021,13,68,1487.29
California,May  9 2021,61,68,1504.71
California,May  8 2021,140,77,1530.57
California,May  7 2021,100,80,1550.57
California,May  6 2021,65,80,1576.71
California,May  5 2021,97,84,1605.86
California,May  4 2021,2,79,1637
California,May  3 2021,15,80,1670.14
California,May  2 2021,123,80,1693.71
California,May  1 2021,158,70,1708.14
California,Apr 30 2021,105,54,1719.57
California,Apr 29 2021,89,52,1730.57
California,Apr 28 2021,65,54,1738.14
California,Apr 27 2021,5,57,1743.43
California,Apr 26 2021,15,61,1746.43
California,Apr 25 2021,53,60,1749.71
California,Apr 24 2021,49,63,1756
California,Apr 23 2021,94,71,1759.86
California,Apr 22 2021,102,69,1765.14
California,Apr 21 2021,86,74,1772.14
California,Apr 20 2021,32,78,1789.14
California,Apr 19 2021,4,74,1799.57
California,Apr 18 2021,78,78,1799.86
California,Apr 17 2021,103,82,1801.43
California,Apr 16 2021,79,92,1808.86
California,Apr 15 2021,136,102,1815.29
California,Apr 14 2021,114,101,1821
California,Apr 13 2021,9,102,1834.57
California,Apr 12 2021,31,102,1860.43
California,Apr 11 2021,105,100,1885.29
California,Apr 10 2021,170,101,1908.29
California,Apr  9 2021,155,96,1939.43
California,Apr  8 2021,129,99,1969.57
California,Apr  7 2021,118,103,2010.86
California,Apr  6 2021,7,107,2045.29
California,Apr  5 2021,21,108,2080.57
California,Apr  4 2021,109,109,2120.86
California,Apr  3 2021,135,121,2165
California,Apr  2 2021,179,133,2204.29
California,Apr  1 2021,154,142,2250.14
California,Mar 31 2021,148,155,2282.86
California,Mar 30 2021,10,170,2316.29
California,Mar 29 2021,32,176,2356.29
California,Mar 28 2021,195,232,2403.14
California,Mar 27 2021,215,211,2452
California,Mar 26 2021,245,187,2509.43
California,Mar 25 2021,241,185,2566
California,Mar 24 2021,254,181,2637.43
California,Mar 23 2021,51,174,2718
California,Mar 22 2021,427,173,2785.29
California,Mar 21 2021,46,126,2852.86
California,Mar 20 2021,45,139,2926.29
California,Mar 19 2021,232,164,3031.86
California,Mar 18 2021,218,172,3098.29
California,Mar 17 2021,205,179,3161.71
California,Mar 16 2021,42,213,3226.71
California,Mar 15 2021,95,214,3308.29
California,Mar 14 2021,140,216,3404.71
California,Mar 13 2021,217,233,3492.43
California,Mar 12 2021,288,240,3543.71
California,Mar 11 2021,270,252,3651.29
California,Mar 10 2021,442,270,3769.14
California,Mar  9 2021,50,249,3909.14
California,Mar  8 2021,106,256,4050.57
California,Mar  7 2021,258,275,4203
California,Mar  6 2021,270,279,4370.43
California,Mar  5 2021,371,296,4557
California,Mar  4 2021,394,310,4750.29
California,Mar  3 2021,300,422,4958
California,Mar  2 2021,97,428,5171
California,Mar  1 2021,238,427,5396.86
California,Feb 28 2021,289,426,5615.29
California,Feb 27 2021,384,441,5846.71
California,Feb 26 2021,473,449,6068.29
California,Feb 25 2021,1178,444,6321.86
California,Feb 24 2021,341,340,6593.14
California,Feb 23 2021,90,333,6874.29
California,Feb 22 2021,232,331,7162
California,Feb 21 2021,393,335,7465
California,Feb 20 2021,441,346,7765.43
California,Feb 19 2021,436,350,8093.86
California,Feb 18 2021,451,363,8415.86
California,Feb 17 2021,291,380,8742
California,Feb 16 2021,76,412,9079.71
California,Feb 15 2021,262,426,9586.14
California,Feb 14 2021,471,428,9967.43
California,Feb 13 2021,466,424,10358.71
California,Feb 12 2021,530,443,10749
California,Feb 11 2021,565,479,11167.86
California,Feb 10 2021,520,486,11600.57
California,Feb  9 2021,170,492,12024.29
California,Feb  8 2021,279,496,12312.43
California,Feb  7 2021,438,506,12750.43
California,Feb  6 2021,605,527,13159.86
California,Feb  5 2021,779,535,13577.43
California,Feb  4 2021,616,509,13968.57
California,Feb  3 2021,561,527,14374.29
California,Feb  2 2021,194,542,14786.71
California,Feb  1 2021,350,545,15217.29
California,Jan 31 2021,590,529,15645
California,Jan 30 2021,656,539,16091.71
California,Jan 29 2021,597,519,16585.71
California,Jan 28 2021,744,532,17064.43
California,Jan 27 2021,666,519,17503
California,Jan 26 2021,212,470,17980.14
California,Jan 25 2021,240,472,18427.43
California,Jan 24 2021,664,485,18821.14
California,Jan 23 2021,515,470,19210.14
California,Jan 22 2021,684,483,19512.71
California,Jan 21 2021,655,446,19837.86
California,Jan 20 2021,326,429,21362.14
California,Jan 19 2021,225,465,21606.57
California,Jan 18 2021,326,461,21840.86
California,Jan 17 2021,563,473,22087.71
California,Jan 16 2021,603,464,22279.86
California,Jan 15 2021,425,468,22461.86
California,Jan 14 2021,537,487,22595.57
California,Jan 13 2021,580,494,21480.43
California,Jan 12 2021,194,471,21556.57
California,Jan 11 2021,415,490,21585.57
California,Jan 10 2021,500,430,21561
California,Jan  9 2021,630,396,21487.29
California,Jan  8 2021,555,368,21338.57
California,Jan  7 2021,589,350,21140.43
California,Jan  6 2021,415,356,20976
California,Jan  5 2021,327,358,20815.43
California,Jan  4 2021,0,328,20640.14
California,Jan  3 2021,258,339,20453.43
California,Jan  2 2021,434,333,20283.71
California,Jan  1 2021,428,296,20106.71
California,Dec 31 2020,636,284,19858.71
California,Dec 30 2020,427,234,19635.43
California,Dec 29 2020,116,212,19384.43
California,Dec 28 2020,74,211,19078
California,Dec 27 2020,219,221,18738
California,Dec 26 2020,178,222,18364
California,Dec 25 2020,340,234,18021.14
California,Dec 24 2020,287,223,17725.86
California,Dec 23 2020,271,241,17314.14
California,Dec 22 2020,111,235,16820
