Data Table for Daily Death Trends - California
Date generated: Tue Nov 30 2021 22:04:17 GMT-0700 (Mountain Standard Time)
State,Date,New Deaths,7-Day Moving Avg,Total Doses Administered
California,Nov 29 2021,291,65,59597608
California,Nov 28 2021,0,52,59597578
California,Nov 27 2021,0,52,59557273
California,Nov 26 2021,0,52,59454021
California,Nov 25 2021,0,74,59312315
California,Nov 24 2021,151,92,59307912
California,Nov 23 2021,15,89,59113364
California,Nov 22 2021,199,89,58882202
California,Nov 21 2021,0,80,58659066
California,Nov 20 2021,0,80,58588908
California,Nov 19 2021,153,101,58437545
California,Nov 18 2021,129,79,58175281
California,Nov 17 2021,128,83,57953933
California,Nov 16 2021,20,84,57725113
California,Nov 15 2021,134,84,57500855
California,Nov 14 2021,0,83,57297429
California,Nov 13 2021,148,83,57228421
California,Nov 12 2021,0,62,57083344
California,Nov 11 2021,156,75,56828710
California,Nov 10 2021,134,69,56617368
California,Nov  9 2021,19,61,56394022
California,Nov  8 2021,127,63,56177530
California,Nov  7 2021,0,47,55978612
California,Nov  6 2021,0,47,55912985
California,Nov  5 2021,93,47,55786208
California,Nov  4 2021,113,50,55545436
California,Nov  3 2021,76,50,55348502
California,Nov  2 2021,38,55,55158583
California,Nov  1 2021,13,92,54968116
California,Oct 31 2021,0,90,54789231
California,Oct 30 2021,0,90,54738312
California,Oct 29 2021,111,90,54634727
California,Oct 28 2021,113,95,54413528
California,Oct 27 2021,113,100,54230469
California,Oct 26 2021,298,106,54046131
California,Oct 25 2021,0,66,53863617
California,Oct 24 2021,0,104,53699416
California,Oct 23 2021,0,104,53651725
California,Oct 22 2021,143,104,53558028
California,Oct 21 2021,148,104,53394191
California,Oct 20 2021,156,104,53297050
California,Oct 19 2021,21,97,53203342
California,Oct 18 2021,266,96,53106620
California,Oct 17 2021,0,91,53005343
California,Oct 16 2021,0,91,52974454
California,Oct 15 2021,140,91,52914235
California,Oct 14 2021,148,94,52786737
California,Oct 13 2021,106,96,52684427
California,Oct 12 2021,15,104,52583788
California,Oct 11 2021,234,102,52476957
California,Oct 10 2021,0,103,52369656
California,Oct  9 2021,0,103,52333908
California,Oct  8 2021,156,103,52267812
California,Oct  7 2021,167,99,52123319
California,Oct  6 2021,157,97,52004394
California,Oct  5 2021,0,93,51893559
California,Oct  4 2021,243,96,51780045
California,Oct  3 2021,0,101,51667246
California,Oct  2 2021,0,101,51628414
California,Oct  1 2021,126,101,51559270
California,Sep 30 2021,153,106,51411845
California,Sep 29 2021,130,106,51277401
California,Sep 28 2021,25,108,51146361
California,Sep 27 2021,275,107,51014288
California,Sep 26 2021,0,68,50893658
California,Sep 25 2021,0,86,50854152
California,Sep 24 2021,159,104,50781627
California,Sep 23 2021,154,105,50669457
California,Sep 22 2021,146,110,50594796
California,Sep 21 2021,16,116,50517503
California,Sep 20 2021,4,128,50439725
California,Sep 19 2021,125,129,50357601
California,Sep 18 2021,125,122,50324458
California,Sep 17 2021,171,133,50266884
California,Sep 16 2021,186,132,50168647
California,Sep 15 2021,188,135,50083979
California,Sep 14 2021,97,111,50001867
California,Sep 13 2021,15,103,49919060
California,Sep 12 2021,76,105,49831979
California,Sep 11 2021,203,116,49796135
California,Sep 10 2021,165,102,49732155
California,Sep  9 2021,201,96,49621618
California,Sep  8 2021,26,89,49529974
California,Sep  7 2021,40,106,49437625
California,Sep  6 2021,25,102,49337020
California,Sep  5 2021,158,103,49317564
California,Sep  4 2021,103,95,49278951
California,Sep  3 2021,119,95,49213831
California,Sep  2 2021,155,93,49093069
California,Sep  1 2021,143,89,48995388
California,Aug 31 2021,16,84,48894037
California,Aug 30 2021,28,84,48790842
California,Aug 29 2021,104,81,48686524
California,Aug 28 2021,106,79,48643359
California,Aug 27 2021,102,75,48564856
California,Aug 26 2021,129,78,48433373
California,Aug 25 2021,108,73,48326337
California,Aug 24 2021,17,70,48221071
California,Aug 23 2021,3,69,48112374
California,Aug 22 2021,89,70,48003728
California,Aug 21 2021,82,63,47960861
California,Aug 20 2021,120,57,47883987
California,Aug 19 2021,92,49,47754444
California,Aug 18 2021,90,45,47650622
California,Aug 17 2021,7,32,47546490
California,Aug 16 2021,11,32,47442190
California,Aug 15 2021,45,31,47342718
California,Aug 14 2021,40,30,47301666
California,Aug 13 2021,61,29,47227658
California,Aug 12 2021,61,26,47113171
California,Aug 11 2021,0,25,47023372
California,Aug 10 2021,10,33,46935842
California,Aug  9 2021,6,33,46841954
California,Aug  8 2021,36,53,46751346
California,Aug  7 2021,33,48,46715344
California,Aug  6 2021,37,44,46650028
California,Aug  5 2021,56,45,46542136
California,Aug  4 2021,54,43,46453132
California,Aug  3 2021,11,40,46365736
California,Aug  2 2021,150,39,46273405
California,Aug  1 2021,0,27,46190747
California,Jul 31 2021,0,27,46159936
California,Jul 30 2021,44,27,46098769
California,Jul 29 2021,42,28,45998188
California,Jul 28 2021,38,26,45913340
California,Jul 27 2021,5,22,45825946
California,Jul 26 2021,65,22,45738220
California,Jul 25 2021,0,20,45663871
California,Jul 24 2021,0,20,45637661
California,Jul 23 2021,46,20,45580373
California,Jul 22 2021,31,23,45485498
California,Jul 21 2021,11,22,45405307
California,Jul 20 2021,4,25,45325046
California,Jul 19 2021,51,25,45243003
California,Jul 18 2021,0,31,45170425
California,Jul 17 2021,0,31,45143036
California,Jul 16 2021,65,31,45086346
California,Jul 15 2021,25,30,44997613
California,Jul 14 2021,30,35,44924436
California,Jul 13 2021,6,34,44851760
California,Jul 12 2021,96,47,44776417
California,Jul 11 2021,0,33,44705274
