Data Table for Daily Death Trends - Washington
Date generated: Tue Nov 30 2021 19:15:24 GMT-0700 (Mountain Standard Time)
State,Date,New Deaths,7-Day Moving Avg,Total Doses Administered
Washington,Nov 29 2021,49,16,11377078
Washington,Nov 28 2021,0,14,11377056
Washington,Nov 27 2021,0,14,11376655
Washington,Nov 26 2021,0,14,11360091
Washington,Nov 25 2021,0,17,11335471
Washington,Nov 24 2021,31,21,11334391
Washington,Nov 23 2021,38,21,11304162
Washington,Nov 22 2021,29,21,11270714
Washington,Nov 21 2021,0,25,11235453
Washington,Nov 20 2021,0,25,11218566
Washington,Nov 19 2021,24,25,11181944
Washington,Nov 18 2021,30,32,11137693
Washington,Nov 17 2021,27,28,11099846
Washington,Nov 16 2021,39,24,11061430
Washington,Nov 15 2021,56,23,11025416
Washington,Nov 14 2021,0,19,10993191
Washington,Nov 13 2021,1,19,10972609
Washington,Nov 12 2021,76,19,10934028
Washington,Nov 11 2021,0,12,10888269
Washington,Nov 10 2021,0,18,10848554
Washington,Nov  9 2021,30,23,10806130
Washington,Nov  8 2021,29,24,10766528
Washington,Nov  7 2021,0,24,10731517
Washington,Nov  6 2021,0,24,10713253
Washington,Nov  5 2021,31,24,10680049
Washington,Nov  4 2021,40,26,10634838
Washington,Nov  3 2021,31,24,10597210
Washington,Nov  2 2021,37,26,10561212
Washington,Nov  1 2021,31,25,10525065
Washington,Oct 31 2021,0,25,10491815
Washington,Oct 30 2021,0,25,10480620
Washington,Oct 29 2021,43,25,10454849
Washington,Oct 28 2021,31,24,10411705
Washington,Oct 27 2021,43,26,10372351
Washington,Oct 26 2021,31,27,10333904
Washington,Oct 25 2021,29,25,10296712
Washington,Oct 24 2021,0,24,10261834
Washington,Oct 23 2021,0,27,10249688
Washington,Oct 22 2021,34,31,10226290
Washington,Oct 21 2021,46,31,10196486
Washington,Oct 20 2021,49,31,10175561
Washington,Oct 19 2021,22,31,10155165
Washington,Oct 18 2021,22,33,10133759
Washington,Oct 17 2021,22,32,10113054
Washington,Oct 16 2021,22,31,10106100
Washington,Oct 15 2021,36,30,10090797
Washington,Oct 14 2021,46,32,10065609
Washington,Oct 13 2021,51,33,10042779
Washington,Oct 12 2021,37,34,10021188
Washington,Oct 11 2021,14,36,9999757
Washington,Oct 10 2021,14,36,9978983
Washington,Oct  9 2021,14,36,9970935
Washington,Oct  8 2021,50,36,9955225
Washington,Oct  7 2021,55,35,9927722
Washington,Oct  6 2021,57,37,9903205
Washington,Oct  5 2021,53,38,9879013
Washington,Oct  4 2021,14,39,9852774
Washington,Oct  3 2021,14,39,9823874
Washington,Oct  2 2021,14,39,9813591
Washington,Oct  1 2021,39,38,9794901
Washington,Sep 30 2021,72,41,9760358
Washington,Sep 29 2021,63,40,9730305
Washington,Sep 28 2021,63,39,9700820
Washington,Sep 27 2021,12,36,9670531
Washington,Sep 26 2021,11,38,9644989
Washington,Sep 25 2021,11,40,9635166
Washington,Sep 24 2021,60,41,9618360
Washington,Sep 23 2021,61,41,9594263
Washington,Sep 22 2021,58,40,9578996
Washington,Sep 21 2021,44,39,9564025
Washington,Sep 20 2021,24,41,9548209
Washington,Sep 19 2021,23,41,9531682
Washington,Sep 18 2021,23,40,9524329
Washington,Sep 17 2021,56,40,9511958
Washington,Sep 16 2021,56,42,9489929
Washington,Sep 15 2021,52,42,9473540
Washington,Sep 14 2021,56,41,9456648
Washington,Sep 13 2021,21,35,9438802
Washington,Sep 12 2021,21,34,9418178
Washington,Sep 11 2021,21,33,9410190
Washington,Sep 10 2021,68,32,9397006
Washington,Sep  9 2021,59,29,9372853
Washington,Sep  8 2021,46,25,9353865
